seguridad.fecha_hecho;seguridad.cantidad;seguridad.latitud;seguridad.longitud;seguridad.sexo;seguridad.edad;seguridad.estado_civil;seguridad.grupo_actor;seguridad.actividad_delictiva;seguridad.parentesco;seguridad.ocupacion;seguridad.discapacidad;seguridad.grupo_especial;seguridad.medio_transporte;seguridad.nivel_academico;seguridad.testigo;seguridad.conducta;seguridad.modalidad;seguridad.caracterizacion;seguridad.conducta_especial;seguridad.arma_medio;seguridad.articulo_penal;seguridad.categoria_penal;seguridad.nombre_barrio;seguridad.codigo_barrio;seguridad.codigo_comuna;seguridad.lugar;seguridad.sede_receptora;seguridad.bien;seguridad.categoria_bien;seguridad.grupo_bien;seguridad.modelo;seguridad.color;seguridad.permiso;seguridad.unidad_medida
2013-10-26 21:00:00;1.0;6.23755200000;-75.55788000000;Mujer;29;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Técnica;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Gerona;#0911;9;Residencia;Comisaría 9 - bueno aires;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-26 03:00:00;1.0;6.25185400000;-75.55522100000;Mujer;34;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Técnica;0;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Los Ángeles;#1017;10;Residencia;Comisaría 10 - centro;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-26 21:00:00;1.0;6.28465000000;-75.60206900000;Mujer;45;Casado(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Sexual;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Pajarito;#0723;7;Residencia;Comisaría 7 - comuna siete;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-26 22:00:00;1.0;6.23343700000;-75.55660500000;Mujer;51;Casado(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Bachillerato;0;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Loreto;#0913;9;Residencia;Comisaría 9 - bueno aires;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-26 00:00:00;1.0;6.28172300000;-75.64263000000;Mujer;35;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Travesias;#6016;60;Residencia;Comisaría san cristobal;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-26 20:00:00;1.0;6.22765800000;-75.58391200000;Mujer;25;Soltero(a);Sin dato;Sin dato;Sin dato;Trabajador social;Sin dato;Sin dato;Sin dato;Universitario;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Trinidad;#1503;15;Residencia;Comisaría 15 - guayabal;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-27 08:00:00;1.0;NaN;NaN;Mujer;53;Divorciado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Técnica;1;reincidencia violencia intrafamiliar;Maltrato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;SIN DATO;SIN DATO;Residencia;Permanencia 1 el bosque;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-27 00:00:00;1.0;NaN;NaN;Mujer;36;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Bachillerato;0;reincidencia violencia intrafamiliar;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato 60 San Cristobal;SIN DATO 60 SAN CRISTOBAL;60;Residencia;Comisaría san cristobal;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-27 01:00:00;1.0;NaN;NaN;Mujer;25;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Aranjuez;#0413;4;Residencia;Comisaría 4 - campo valdés;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-10-27 13:00:00;1.0;NaN;NaN;Mujer;46;Casado(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Popular;#0103;1;Residencia;Comisaría 1 - comuna uno;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
